University,Abbreviation,Department,Course title,Unit,Professor,Objective,Prerequisite,Required Skills,Outcome,References,Scores,Description,Projects,University Homepage,Course Homepage,Professor Homepage
University of York,UOY,Archaeology,Digital Imaging - ARC00082M,5,,"Through engaging with digital imaging techniques, students will :
Demonstrate understanding of how different imaging techniques produce different insights into archaeological data.
Be able to match imaging techniques to particular research questions.
Display familiarity with imaging equipment and editing software.",,,"By the end of the module students will be able to:
Engage with cutting-edge digital imaging techniques
Understand how to produce a range of images with digital photography
Create publication-specific media for print and digital dissemination
Understand the data behind a range of imaging techniques
Understand issues such as paradata, copyright and archiving of images",Key texts are published on the module pages.,,"Digital imaging techniques are increasingly becoming part of the standard expected toolkit for heritage professionals in commercial and research-oriented archaeology. This course will offer an opportunity for Masters students to become familiar with the technological affordances of a range of both standard and cutting-edge techniques.
 
This module will introduce a range of techniques in digital imaging, which may include digital photography, Reflectance Transformation Imaging (RTI), near-Infrared Photography, Photogrammetry/Structure from Motion, and Drone Photography. Students will follow a workflow through the creation, processing, and dissemination of digital images for heritage. There will be seminars on cutting-edge techniques in digital imaging that will introduce the students to the range of equipment available within the Department of Archaeology as well as the possibilities for imaging in the near future. Students will be equipped with the skillset and familiarity with technology to accompany their understanding of the theory behind these methods instilled in core and option modules.
The final assessment of this module will be exhibition-ready materials for display in the Common Room. The materials will be presented to the class (this presentation will not be assessed) and then the final exhibition image will be accompanied by a 1,000 word paradata statement.
",,https://www.york.ac.uk/,https://www.york.ac.uk/students/studying/manage/programmes/module-catalogue/module/ARC00082M/2021-22,
University of York,UOY,Archaeology,Digital Knowledge Production in Archaeology - ARC00007M,20,,"To introduce the main digital technologies used for the dissemination of archaeological information, awareness of how the technologies have been applied, and their relative pros and cons.",,,"Knowledge of the development of digital dissemination, publication and archiving in general, with particular knowledge in relation to archaeology and cultural heritage
Knowledge of key internet technologies
Understanding of relative advantages and disadvantages of different technologies and applications","Huggett, J. (2019) Resilient scholarship in the digital age. Journal of Computer Applications in Archaeology, 2(1), pp. 105-119. https://doi.org/10.5334/jcaa.25
Wright, HE & Richards, JD (2018) Reflections on Collaborative Archaeology and Large-Scale Online Research Infrastructures, Journal of Field Archaeology, vol. 43, no. S1, pp. S60-S67. https://doi.org/10.1080/00934690.2018.1511960
Richards, JD (2018) 'Internet Archaeology' and digital scholarly communication. in A Benardou, E Champion, C Dallas & L Hughes (eds), Cultural Heritage Infrastructures in Digital Humanities. Routledge , London and New York, pp. 36-47.",,"Digital Knowledge Production in Archaeology covers the critical fundamentals of making archaeological data findable, accessible, interoperable and reusable online. This module introduces a wide range of subjects surrounding the ever-growing use of the internet for the dissemination of heritage information. The pivotal theme of the course is to consider how this platform offers opportunities to overcome some of the fundamental issues affecting our discipline, namely: publication and data backlogs. In tandem we'll also look at the challenges: how do we find things, how do we know they're reliable and how do we prevent data loss?
The module is designed for anyone with an interest in how we're using the internet for our work; all technologies, concepts (and acronyms!) are approached at an introductory level.
Over the term we will look at the history of the internet, noting key advances and historic use by our field. We will also look at the rise of electronic publishing, self publishing (via blogs) web-based dissemination of grey literature, and the Open Access movement. The module will also discuss Digital Archives, including why we need them and how they work. We will also look at initiatives to facilitate the sharing of information: introducing metadata and looking at specific metadata standards relevant to archaeology and heritage. We will look at the world of Web Services, seeing how they work and relative strengths and weaknesses. Finally, we'll look at Linked Data and other aspects of the semantic web, dispelling some myths and looking at the rich potential for opening up heritage datasets.
The module is based around lectures from the module leader often with live demonstrations of particular sites to help explain and give context to particular concepts, such as Web Services or Linked Data, that may be new to some. Students will be assigned their own work to present to the class, both in the form of traditional reading-based tasks, but also reviews of websites or reports on particular technologies in action.",,https://www.york.ac.uk/,https://www.york.ac.uk/students/studying/manage/programmes/module-catalogue/module/ARC00007M/2021-22,
University of York,UOY,Archaeology,Dissertation - 4480850,80,,Information currently unavailable,,,Information currently unavailable,Information currently unavailable,,,,https://www.york.ac.uk/,https://www.york.ac.uk/students/studying/manage/programmes/module-catalogue/module/4480850/2021-22,
University of York,UOY,Archaeology,Dissertation - ARC00009M,80,,"The purpose of the dissertation is to allow students to undertake a
substantial piece of independent research on a subject of their own
choosing. The dissertation will allow them to apply research and study
skills acquired during their 1st and 2nd terms and to work with the
guidance of one or more members of academic staff.",,,"By the end of the module, students should be able to:
    demonstrate a specialist knowledge and understanding of their   chosen subject    execute a programme of research, working independently    synthesise and critically evaluate a range of primary and   secondary evidence    structure a substantial piece of written work    present a written dissertation to professional standards,   including appropriate graphical and text presentation skills    manage their time effectively and complete a substantial piece   of independent work to deadline    communicate research findings through a lecture, using PowerPoint",Information currently unavailable,,,,https://www.york.ac.uk/,https://www.york.ac.uk/students/studying/manage/programmes/module-catalogue/module/ARC00009M/2021-22,
University of York,UOY,Archaeology,Dissertation & Assessed Lecture for Archaeological Scientists - ARC00011H,40,,"During this module, students will be supported in the writing of a substantial piece of independent written research in the field of scientific archaeology.",,,"By the end of the module, students should be able to:
demonstrate a specialist knowledge and understanding of their chosen subject
execute a programme of research, working independently
synthesise and critically evaluate a range of primary and secondary archaeological evidence
structure a substantial piece of written work
present a written dissertation to professional standards, including appropriate graphical and text presentation skills
manage their time effectively and complete a substantial piece of independent work to deadline
communicate research findings through a lecture","Your reading will be based on your topic but this general guide to dissertation writing might help.
Richer, Suzi, and Authors@York, Provenance. Writing a Dissertation : The Essential Guide. Peterborough: Need2Know, 2013. Print.",,"The purpose of the dissertation is to enable students to undertake a substantial piece of independent research on an archaeological science subject of their own choosing (BSc Bioarchaeology students must undertake a dissertation with a bioarchaeological theme). Students will apply the research and study skills acquired during their first and second years to produce an extended piece of written work with the guidance and supervision of a member of academic staff.
The dissertation is an independent study module so most of the time you will be working on this on your own. However, at intervals, you should be submitting work and getting advice from your supervisor. There is one workshop during the Autumn Term - this is an opportunity to discuss progress and problems. 
During the Spring Term you will have weekly meetings with your supervisor during term time for support in the design and writing of your dissertation. 
The Assessed lecture is part of the dissertation and will be held in summer term.",,https://www.york.ac.uk/,https://www.york.ac.uk/students/studying/manage/programmes/module-catalogue/module/ARC00011H/2021-22,
University of York,UOY,Archaeology,Dissertation & Assessed Lecture for Archaeologists - ARC00012H,40,,"During this module, students will be supported in the writing of a substantial piece of independent written research in the field of archaeology.",,,"By the end of the module, students should be able to:
demonstrate a specialist knowledge and understanding of their chosen subject
execute a programme of research, working independently
synthesise and critically evaluate a range of primary and secondary archaeological evidence
structure a substantial piece of written work
present a written dissertation to professional standards, including appropriate graphical and text presentation skills
manage their time effectively and complete a substantial piece of independent work to deadline
communicate research findings through a lecture",Subject specific,,"The purpose of the dissertation is to enable students to undertake a substantial piece of independent research on an archaeological subject of their own choosing. Students will apply the research and study skills acquired during their first and second years to produce an extended piece of written work with the guidance and supervision of a member of academic staff.
By the end of the module, students should be able to:
demonstrate a specialist knowledge and understanding of their chosen subject
execute a programme of research, working independently
synthesise and critically evaluate a range of primary and secondary archaeological evidence
structure a substantial piece of written work
present a written dissertation to professional standards, including appropriate graphical and text presentation skills
manage their time effectively and complete a substantial piece of independent work to deadline
communicate research findings through a lecture
",,https://www.york.ac.uk/,https://www.york.ac.uk/students/studying/manage/programmes/module-catalogue/module/ARC00012H/2021-22,
University of York,UOY,Archaeology,Dissertation & Assessed Lecture for Archaeology & Heritage Studies - ARC00038H,40,,"During this module, students will be supported in the writing of a substantial piece of independent written research in the field of archaeology and heritage studies.",,,"By the end of the module, students should be able to:
demonstrate a specialist knowledge and understanding of their chosen subject
execute a programme of research, working independently
synthesise and critically evaluate a range of primary and secondary archaeological evidence
structure a substantial piece of written work
present a written dissertation to professional standards, including appropriate graphical and text presentation skills
manage their time effectively and complete a substantial piece of independent work to deadline
communicate research findings through a lecture","Your reading will be based on your topic but this general guide to dissertation writing might help.
Richer, Suzi, and Authors@York, Provenance. Writing a Dissertation : The Essential Guide. Peterborough: Need2Know, 2013. Print.",,"The purpose of the dissertation is to enable students to undertake a substantial piece of independent research on an archaeology and heritage subject of their own choosing. Students will apply the research and study skills acquired during their first and second years to produce an extended piece of written work with the guidance and supervision of a member of academic staff.
The dissertation is an independent study module so most of the time you will be working on this on your own. However, at intervals, you should be submitting work and getting advice from your supervisor. There is one workshop during the Autumn Term - this is an opportunity to discuss progress and problems. 
During the Spring Term you will have weekly meetings with your supervisor during term time for support in the design and writing of your dissertation. 
The Assessed lecture is part of the dissertation and will be held in summer term.",,https://www.york.ac.uk/,https://www.york.ac.uk/students/studying/manage/programmes/module-catalogue/module/ARC00038H/2021-22,
University of York,UOY,Archaeology,Dissertation & Assessed Lecture for Historical Archaeologists - ARC00007H,40,,"During this module, students will be supported in the writing of a substantial piece of independent written research in the field of historic archaeology.",,,"By the end of the module, students should be able to:
demonstrate a specialist knowledge and understanding of their chosen subject
execute a programme of research, working independently
synthesise and critically evaluate a range of primary and secondary archaeological evidence
structure a substantial piece of written work
present a written dissertation to professional standards, including appropriate graphical and text presentation skills
manage their time effectively and complete a substantial piece of independent work to deadline
communicate research findings through a lecture",Subject specific,,"The purpose of the dissertation is to enable students to undertake a substantial piece of independent research on historic archaeology subject of their own choosing. Students will apply the research and study skills acquired during their first and second years to produce an extended piece of written work with the guidance and supervision of a member of academic staff.
The dissertation is an independent study module so most of the time you will be working on this on your own. However, at intervals, you should be submitting work and getting advice from your supervisor. There is one workshop during the Autumn Term - this is an opportunity to discuss progress and problems. 
During the Spring Term you will have weekly meetings with your supervisor during term time for support in the design and writing of your dissertation. 
The Assessed lecture is part of the dissertation and will be held in summer term.",,https://www.york.ac.uk/,https://www.york.ac.uk/students/studying/manage/programmes/module-catalogue/module/ARC00007H/2021-22,
University of York,UOY,Archaeology,Dissertation (English Buildings History) - ARC00112M,60,,The purpose of the dissertation is to allow students to undertake a substantial piece of independent research on a subject of their own choosing. The dissertation will allow them to apply research and study skills acquired during their 1st and 2nd years and to work with the guidance of one or more members of academic staff.,,,"By the end of the module, students should be able to:
demonstrate a specialist knowledge and understanding of their chosen subject
execute a programme of research, working independently
synthesise and critically evaluate a range of primary and secondary evidence
structure a substantial piece of written work
present a written dissertation to professional standards, including appropriate graphical and text presentation skills
manage their time effectively and complete a substantial piece of independent work to deadline
communicate research findings through a lecture, using PowerPoint",.,,The Dissertation is a compulsory element of the programme.,,https://www.york.ac.uk/,https://www.york.ac.uk/students/studying/manage/programmes/module-catalogue/module/ARC00112M/2021-22,
University of York,UOY,Archaeology,Documents & Archives for Archaeologists - ARC00107M,10,,"To introduce students to the principles of archival research for archaeology.
To provide training in the use, organisation and deployment of archival sources.
To provide practical training in the use, analysis, and interpretation of a range of archival sources commonly used by archaeologists and heritage managers.
To provide practical training in basic post-medieval paleography",,,"Upon completion of this module students should:
Understand how archives are created and curated.
Be able to source, correctly handle, and apply basic palaeography skills to a range of archival sources.
Be able to analyse and interrogate archival sources in response to a research question.","Barson, S (ed.) (2018) Understanding Architectural Drawings and Historical Visual Sources. London: Historic England.
Hoskins et al (2001) Reading the Past: Sixteenth and Seventeenth Century English Handwriting. York: University of York.",,"This module introduces students to the wealth of archival material available to help inform our understanding of historic buildings and landscapes. Working with local archives, a range of documentary, pictorial, and cartographic sources are explored, from medieval church records to estate maps and antiquarian writings. The production, use, analysis and interpretation of these resources is considered. The module includes an introduction to post-medieval palaeography (reading historic handwriting).
Sessions are taught in conjunction with local archives, and utilise their collections of historic documents, pictures and maps. The module initially considers the skills required to effectively utilise archival sources, from how to locate records, to how to read and transcribe their contents (palaeography). 
The module is structured around three key groups of resources and is focused on considering their purpose, content, and analysis and interpretation. Sessions on Ecclesiastical Records explore the huge range of archival material produced and collected by Church authorities across the medieval and post medieval periods, both those related to churches themselves, and the wider landscapes and buildings they controlled. The module then turns its attention to Domestic and Urban records, exploring the records of everyday life in a city like York. The module concludes by looking at Estate and Landscape records, examining records as diverse as slave registers and enclosure maps.",,https://www.york.ac.uk/,https://www.york.ac.uk/students/studying/manage/programmes/module-catalogue/module/ARC00107M/2021-22,
University of York,UOY,Archaeology,Domestic Historic Interiors - ARC00069M,20,,"The aim of this module is to introduce students to the range of issues, skills and knowledge required to work with historic interiors as a conservation or heritage professional",,,"Subject content By the end of this module students should:
Understand current policies relating to the management, curation and interpretation of historic interiors, especially in the UK
Be able to research historic interiors and collections to inform and enhance professional curatorial practice
 
Academic and Graduate Skills By the end of the module students will have developed and enhanced:
Written and verbal communication skills, in formative and summative essays and seminar research and presentations
Teamworking and leadership skills in seminar research and presentations","Vagnone, F. D., Ryan, D. E., Sorin, G. (2016) Anarchist's Guide to Historic House Museums. London: Routledge.
Johnson M (2010) English Houses 1300-1800: Vernacular Architecture, Social Life. Pearson: Harlow.
National Trust (2011) The National Trust Manual of Housekeeping. London: Butterworth-Heinemann.
.",,"This module brings together the academic study of historic house interiors with contemporary heritage interpretation and conservation. How are these interiors interpreted to the public? What stories do we choose to tell and are there other stories (particularly revolving around marginalised social groups) that would be more inclusive and engaging? How do we balance the need to conserve these historic houses with the need to generate revenue and keep them open? How have different disciples (archaeology, art history, history) explored these houses in different ways? 
Students taking this module have said that the staff are very enthusiastic, knowledgeable and approachable and that the sessions allowed students to share ideas and ask questions.
We follow two strands in this module. The first provides a broad overview of the major themes, including:
What are the different sources we can use to investigate historic interiors? 
What is the current heritage climate for historic house museums? How are different interpretive methods used in these museums, such as costumed interpretation and digital heritage?
What are the conservation challenges and are there tensions with the need to keep the house open to visitors?  
The second strand aims to bring all these major themes together by focusing on a series of case studies, ranging from the medieval period to the 19th century. This allows us to explore how these themes play out in practice and explore the complexity surrounding them. In the assessment, students are encouraged to focus on the areas of the module that most interest them.",,https://www.york.ac.uk/,https://www.york.ac.uk/students/studying/manage/programmes/module-catalogue/module/ARC00069M/2021-22,
University of York,UOY,Archaeology,Empires of Improvement - ARC00023M,20,,"To critically examine the archaeology of globalisation over the eighteenth and nineteenth centuries 
To understand the role historical archaeology can play in understanding the foundations of contemporary issues of inequality",,,"Upon completion of this module students should:
Be able to critically evaluate the archaeology of the Atlantic World.  
Have a good understanding of the different ways in which globalisation impacted upon economy, diet and consumption. 
Understand how colonialism was entangled within everyday life.
Have a deeper understanding of the methods, theories and approaches commonly applied in historical archaeology.
Have built knowledge of case studies from around the world relating to buildings, landscapes, and monuments.
Be able to critically discuss the ways in which dominant theoretical approaches in archaeology have impacted on historical research, particularly post-colonial perspectives. 
Have developed their writing skills through assessed essays
Have presented their research during seminars","

Finch, J. 2013, 'Inside the Pot House: Diaspora, Identity and Locale in Barbadian Ceramics ', Journal of African Diaspora Archaeology and Heritage, vol. 2, no. 2, pp. 115-130. 


Ogundiran, A. and Falola, T. (eds) 2007 Archaeology of Atlantic Africa and African Diaspora. Indiana University Press, Bloomington.


Silliman, S. 2010. Indigenous traces in colonial spaces: Archaeologies of ambiguity, origin, and practice, Journal of Social Archaeology 10(1): 28-58.


 ",,"This module focuses on global Historical Archaeologies. As such, the archaeology of the New World is a major component, as the development of the discipline there has shaped the ways that other parts of the world have been studied. In addition, this module will explore the Old World experience of colonisation and settler society alongside indigenous lives and landscapes. In particular, we will consider the dynamics of enslavement and the Afriacan Diaspora on both sides of the Atlantic as one of the major factors shaping the modern world. The case studies chosen will allow a movement between local and global, as we explore the ways that archaeology can contribute to our understandings of historical entanglements and contemporary memorialisation.
Students have said that this module is essential to understand eighteenth and nineteenth century life and that it has made them re-evaluate their understanding of the period.
This module explores the colonial discourse and in particular the Atlantic World. It begins with a discussion about the various theoretical approaches to the archaeology of colonialism and post-colonialism, before critically evaluating the archaeology of the New World. The module explores the material life and landscapes of the Americas, including the important role of environmental relationships. Various different European perspectives on colonialism are explored before we focus on the African Diaspora. There is the chance to build up detailed knowledge of case studies from the Caribbean, before exploring the very different context of East Africa and the Indian Ocean and sub-continent.",,https://www.york.ac.uk/,https://www.york.ac.uk/students/studying/manage/programmes/module-catalogue/module/ARC00023M/2021-22,
University of York,UOY,Archaeology,Ethnoarchaeology - ARC00086M,20,,"Provide an introduction to ethnoarchaeology, with a focus on material culture and the use of space.
Introduce students to the theoretical basis, critique of archaeology offered by ethnoarchaeology, and reflexivity within ethnoarchaeology.
Allow students to understand how ethnoarchaeology can help archaeologists to understand the past, working through different areas of study: discard patterns, hunter-gatherer archaeology, craft production and consumption, the use of space in houses and settlements, and engagement with the material world. Studies will focus particularly but not exclusively on African examples.
Introduce students to formative and current debates on the uses and problems of ethnoarchaeology, as an essential basis for the study of the material world.
Enable students to design their own ethnoarchaeological studies",,,"By the end of the module the students will be able to:
Discuss with confidence with the historical development and significant debates within ethnoarchaeology and be able to situate them within the broader development of Archaeology as a discipline;
Debate the merits and contribution of ethnoarchaeological research, including ethical dimensions;
Evaluate critically different interpretative and methodological approaches to understanding the past through ethnoarchaeology, and to assess their application to different periods and contexts
Design and implement their own ethnoarchaeological study using standard terminology and style for reporting ethnoarchaeological studies
Present ideas confidently in discussion and debate
Work with a team to create projects and presentations
Convey complex ideas in an analytical framework through essay-writing and presentations","David, N. and C. Kramer. 2001. Ethnoarchaeology in Action. Cambridge: Cambridge University Press. (Ch. 1, p. 1-32).
González-Ruibal, A. 2006. The Past is Tomorrow. Towards an Archaeology of the Vanishing Present, Norwegian Archaeological Review 39 (2): 110–125. doi:10.1080/00293650601030073.
Lyons, D. and J. Casey 2016. It’s a material world: the critical and on-going value of ethnoarchaeology in understanding variation, change and materiality, World Archaeology 48(5). ",,"Ethnoarchaeology is central to the ways archaeologists understand the past, and has informed interpretations of the archaeological record from the Palaeolithic to the present day. It provides a powerful set of techniques, using modern analogies to understand how objects and sites of the past would have related to social activities, skills and ways of understanding the world. This course, which gives an introduction to the debates, practices, and ethics of ethnoarchaeology is therefore a fantastic component of any programme of study. In particular it focuses on the ways that ethnoarchaeology has informed debates on material culture and technology and gives an essential set of skills for exploring the material record.
This course will introduce students to all aspects of ethnoarchaeology, from theoretical approaches to practical aspects of working between living societies and the archaeological record. After an introductory lecture, teaching will be via seminars and discussion groups, based on particular readings. Students can expect to become confident in using ethnoarchaeology to enhance their understanding of the past, particularly with aspects of material culture and spatial patterning. This means that students will not only learn how to explore the technological and social context of archaeological objects, but will also be able to engage in informed discussion about technology and materiality in context.
In seminars students will be expected to contribute to discussion, as well as participating in short group and individual presentations. The module will be taught thematically, drawing on anthropological and archaeological examples. Topics covered will include: ethnoarchaeology and ethics; objects and identity; feasting and consumption; technology; cultural landscapes and communities; ethnoarchaeology of gender.",,https://www.york.ac.uk/,https://www.york.ac.uk/students/studying/manage/programmes/module-catalogue/module/ARC00086M/2021-22,
University of York,UOY,Archaeology,Experimental Archaeology Design & Practice - ARC00074M,5,,"This module will equip students with the practical skills required to design, conduct and critique experiments related to material culture.",,,"By the end of the module, students should be able to:
Subject content
Apply an understanding of why experimentation is a key aspect of artefact studies
Use skills in experimental project design and implementation, with clearly stated aims, methods and consideration of variables
Demonstrate developed skills that will enable them to make a distinction between good and poor quality reporting
Grasp the application of different analytical techniques employed to study the use life of objects
Apply basic hands on practical experience in the methods of microwear and residue analysis
Make and use experimentally produced reference collections
Present an experimental research project to the wider public/research community as a short documentary-style film
Academic and graduate skills
Apply skills in oral presentation, discussion and debate
Use transferable team working skills in small group work and oral presentations
Utilise their project and time management skills
Demonstrate skills in producing powerpoint presentations and digital methods of documentation through the production of a short film
Be equipped with curation, public outreach/impact skills",Reading accessible via module web page and VLE,,"
During this module students will get hands on practical experience through the implementation of an archaeological experiment based on an outstanding question relating to a specific form of material culture. Practical work will be undertaken outdoors, fireside, at the YEAR Centre. Teamwork involving the production of a short documentary film based on their experimental research, and requiring close consideration of target audience, will be exhibited and judged at the end of the course. By which time students will be have acquired the theoretical and planning skills required to design, implement, record and critically reflect on their own experimental research project. An introductory presentation on the microscopic techniques of microwear and residue analysis, followed by a practical workshop involving microscopy will provide basic skills in these methods",,https://www.york.ac.uk/,https://www.york.ac.uk/students/studying/manage/programmes/module-catalogue/module/ARC00074M/2021-22,
University of York,UOY,Archaeology,Experimental Archaeology in Context - ARC00087M,20,,This module aims to equip students with the essential theoretical skills required to critically reflect on experimental research and its application to the study of material culture.,,,"By the end of the module the students should:
Have an understanding of why experimentation is a key aspect of artefact studies
Be able to discuss gender and ethical issues in Experimental Archaeological (EA) research
Know the limitations of EA research
Show familiarity with current analytical approaches to the imaging of objects
Have an understanding of the role of experimentation in reconstructing artefact biographies
Understand and critique key differences between reenactment and EA
Know the suitability of different dissemination mediums, including digital, for reaching target audiences in the Heritage Sector
Developed and enhanced skills in oral presentations, discussion and debate
Developed and enhanced team working skills from small group work and oral presentations
Developed and enhanced comprehensive skills in producing powerpoint presentations and essay writing","Outram, A. K. (2008). Introduction to Experimental Archaeology. World Archaeology 40: 1–6
Planel, P., & Stone, P. G. (2003). The Constructed Past: Experimental Archaeology, Education and the Public. London: Routledge
Bell, M. (2014). ‘Experimental Archaeology at the Crossroads: A Contribution to Interpretation or Evidence of ‘xeroxing’?’. In R. Chapman and A. Wylie (eds), Material Evidence. Learning from Archaeological Practice, pp.62–78. London: Routledge",,"During this module you will acquire the theoretical skills required to engage and reflect critically on your own experimental research aims and objectives. Experimental Archaeology (EA) is increasingly being used to address key questions in material culture research. These advances, alongside cutting-edge scientific techniques investigating the past functions of artefacts, are enriching our understanding of object life histories more than ever before.
Students have said of this module:  “Some classes stick with you in your academic experiences and I know I will hold on to the memories of the insightful conversations and debates we all had. I can truly say it will be a fond memory of my Master's programme”
During this module students will consider theoretical and ethical aspects of Experimental Archaeology research, the differences between reenactment and Experimental Archaeology, and how Experimental Archaeology can be employed to reconstruct artefact and house biographies. We will also explore the use of digital imaging and media as analytical tools and important forms of dissemination. You will reflect critically on whose past we are recreating through experimentation, and will develop your abilities to bring a critical perspective to current and past approaches to experimentation. Classes will be structured thematically and involve student-led seminars with interactive activities embedded into some sessions.",,https://www.york.ac.uk/,https://www.york.ac.uk/students/studying/manage/programmes/module-catalogue/module/ARC00087M/2021-22,
University of York,UOY,Archaeology,Field Archaeology - ARC00004C,20,,"This module aims to:
Introduce what is entailed in prospecting for archaeological sites 
Introduce the collection and assessment of primary data
Provide a hands-on experience of a variety of key archaeological field skills.",,,"By the end of this module, students should be able to:
be aware of the planning process and approaches to project design
appreciate the range of non-invasive techniques that archaeologists employ
understand approaches to fieldwalking and the practical application of these
participate in laying out grids and fieldwalking techniques
recognise a range of artefacts and their significance for evaluation
understand the process and assist with a general survey of landscape features
understand the method and assist with geophysical survey
describe methods of building recording
recognise forms of representation in building recording
have a basic knowledge of the structural elements of buildings
contribute to the recording of a plan and elevation of an upstanding building","Carver, M (2009) Archaeological Investigation. London: Routledge.
Flatman, J, (2011) Becoming an archaeologist: a guide to professional pathways. Cambridge: Cambridge University Press.
Roskams, S (2001) Excavation. Cambridge: Cambridge University Press.
Detailed reading for the module will be available via YorkShare (the University's virtual learning environment). When you have enrolled on a module, you will be able to access the full reading list.",,"How do we gather archaeological data in the field? What makes a great excavation? Who pays for archaeology? What are the logistical challenges and legal requirements involved in doing archaeology? And once we have gathered archaeological data in the field what do we do with it afterwards? These are just some of the many questions we will discuss during this module. It will give you wide-ranging, advanced practical skills, as well as a deep theoretical knowledge and understanding of archaeology, whatever career you plan to go into.
This module seeks to provide students with an understanding of the context within which archaeological fieldwork now takes place in the profession and the implications of this for how it is planned and carried out. In addition, it aims to develop understanding of the archaeological resource and the key methods of reconnaissance, data acquisition and recording methodologies that might be deployed in order to successfully procure data in a variety of situations. As well as the ways this material can be archived and interpretations published to make all outputs accessible to future researchers.",,https://www.york.ac.uk/,https://www.york.ac.uk/students/studying/manage/programmes/module-catalogue/module/ARC00004C/2021-22,
University of York,UOY,Archaeology,Gathering Field Archaeology Data - ARC00020M,20,,"This module will give students a thorough knowledge of the processes of data gathering in field archaeology in the UK and beyond
to bridge the gap between professional and research communities
To provide students with a thorough knowledge of how, and why, archaeological fieldwork has developed over time
to acquaint students with the major concepts and methodologies employed within modern fieldwork, and to understand their impact on and data gathering
To give students the contextual knowledge and understanding of field methods required to make informed decisions in the design and management of archaeological projects, thus generating the detailed vocational skills required for developing a career in the archaeological profession, whether in the UK or beyond
to develop the student’s ability to gather and organise information and arguments in a critical and independent manner through writing essays or producing project
to develop the student s presentational skills through the delivery of seminar papers",,,"By the end of the module, students should
understand the organisational and legislative context within which fieldwork operates
display an understanding of how the skills needed in reconnaissance, evaluation and full scale fieldwork might be best deployed
comprehend the main players involved in curating and commercially investigating the archaeological heritage
gain a detailed knowledge of the varied techniques of site evaluation used today
become aware of the practicalities, and problems, of implementing archaeological projects and understood the implications of this for strategy and project design
enhance their skills in small group work and oral presentations","The recent Association of Local Government and Archaeological Officers (ALGAO) report here.
Flatman, J. and Perring, D., 2013. The National Planning Policy Framework and Archaeology: A Discussion. Papers from the Institute of Archaeology, 22, pp.4–10.
Darvill T. et al. (2019) Historic Landscapes and Mental Well-being. Archaeopress.",,"How do we gather archaeological data in the field? What makes a great excavation? How do we value archaeology? Who pays for archaeology? What are the logistical challenges, the legal requirements, and the ethics involved in doing archaeology? These are just some of the many questions we will debate during this module. Whether you want to work in the field, in a lab, or in a museum, whether you want to remain in academia or enter the world of development-led, local government, or central government archaeology, this module will provide you with the skills you need for a lifetime of archaeological adventure. Its partner module ‘Analysing Field Archaeology Data’ runs in the Spring Term.
This module seeks to provide students with an understanding of the context within which archaeological fieldwork now takes place in the profession and the implications of this for how it is planned and carried out. In addition, it aims to develop understanding of the archaeological resource and the key methods of reconnaissance, data acquisition and recording methodologies that might be deployed in order to successfully procure data in a variety of situations.
The module will consider these techniques, within their legislative context, from a number of different perspectives in the archaeological sector (curator, commercial consultant and commercial contractor), as well as exploring the difference between ‘commercial archaeology’ and ‘research archaeology’ (and the extent to which this is a useful or valid dichotomy anyway). This is all done with a view to informing decision making in any subsequent role you have in designing and managing archaeological projects.",,https://www.york.ac.uk/,https://www.york.ac.uk/students/studying/manage/programmes/module-catalogue/module/ARC00020M/2021-22,
University of York,UOY,Archaeology,Geographical Information Systems - ARC00049M,5,,"To examine how GIS can be applied in archaeology, and to explore the issues raised
To provide a practical introduction to the use of GIS and its application in archaeology.",,,"Students will gain an outline understanding of the use of GIS in various aspects of archaeological investigation and analysis
Students will be expected to display a clear understanding of the practical skills in the use of GIS","Conolly, J., & Lake, M. (2006). Geographical Information Systems in Archaeology (Cambridge Manuals in Archaeology). Cambridge: Cambridge University Press. doi:10.1017/CBO9780511807459
https://www.cambridge.org/core/books/geographical-information-systems-in-archaeology/6CCD088D5DF8A32567A0A2B60CACD3A5",,"This course will introduce students to how Geographical information Systems (GIS) are used in archaeology. We cover the basics of cartography and how to make good choices when making maps for presentation, as well as carrying out analytical tasks and some introductory model-building. Students will cover all the ground necessary to be able to manage and manipulate data for curatorial purposes, and begin to explore more abstract landscape approaches, which will later be built on the module “Spatial Analysis in GIS”
The course is taught via a series of lectures and practical computing workshops. It covers an introduction to geographic concepts and data structures, as well as cartographic techniques and principles, learning how to go beyond the defaults in presentation. It introduces the basic concepts of GIS, vector and raster data, symbology, and working within the GIS environment. We use data from real archaeological projects to show how GIS can be used to query and select data, edit data tables, and join data from different locations. Aspects such as georeferencing images, digitising data and cleaning data from other sources are covered. Students will carry out exercises in reclassification, creating contextual data, basic map algebra, and cost distances.
* Please note that this module requires basic computer literacy and, ideally (but not essentially), some experience using spreadsheets or databases. Contact the module leader if you have questions about your existing skills.*",,https://www.york.ac.uk/,https://www.york.ac.uk/students/studying/manage/programmes/module-catalogue/module/ARC00049M/2021-22,
